agent_run_id,instance_id,exit_status,resolved,api_calls,instance_cost,mini_version,system,user,assistant,tool,total
007d2aaf-97f0-46ec-9d31-4b6121238686,django__django-13821,Submitted,1,59,0.3359927,2.1.0,1,1,59,58,119
025504bc-0a39-4007-be31-944af1a90ebc,sphinx-doc__sphinx-9229,Submitted,0,56,0.3889468,2.1.0,1,1,56,55,113
02eacb9d-4c82-42f6-bcfe-58a712fd0797,django__django-14140,Submitted,0,51,0.2516247,2.1.0,1,1,51,50,103
0367ccf8-6c63-4d02-8df8-63e97f605ce8,sympy__sympy-13372,Submitted,1,53,0.2645804,2.1.0,1,1,53,52,107
038dc393-2a41-4fda-95a3-b8b46d0ceead,pydata__xarray-7393,Submitted,1,71,0.4855722500000001,2.1.0,1,1,71,70,143
047b7638-c7e3-4244-aaa2-ef223f7c726b,django__django-15916,Submitted,1,42,0.26112104999999997,2.1.0,1,1,42,41,85
04fb017e-3da4-4826-8d19-474ab4eafe3d,django__django-17087,Submitted,1,73,0.44761389999999995,2.1.0,1,1,73,72,147
051281dd-67d4-45b5-b1da-f1beeb0ebf47,sphinx-doc__sphinx-9591,Submitted,1,67,0.3444711499999999,2.1.0,1,1,67,66,135
0593c2fe-31c1-4928-aa96-09639772a305,sphinx-doc__sphinx-8621,Submitted,1,25,0.18321320000000002,2.1.0,1,1,25,24,51
05b431dc-1b99-42f4-96dc-0d2dd85e04cb,django__django-13363,Submitted,1,45,0.26452715,2.1.0,1,1,45,44,91
05da6ef5-2451-4d67-b89c-e94b2ec18f80,sphinx-doc__sphinx-9281,Submitted,0,62,0.33821405,2.1.0,1,1,62,61,125
0624fd3a-bc9f-472e-9b2a-42a30d13a6d5,astropy__astropy-14309,Submitted,1,71,0.4452511000000002,2.1.0,1,1,71,70,143
06cf9c54-df2b-434f-b812-b06f1d9b10c9,pytest-dev__pytest-8399,Submitted,1,57,0.30754335,2.1.0,1,1,57,56,115
0735b0fb-8554-40f0-8406-04537b172595,django__django-13344,Submitted,0,46,0.34088675000000007,2.1.0,1,1,46,45,93
07b67e99-930b-4996-b0e2-409cac1ed7f5,matplotlib__matplotlib-20859,Submitted,1,70,0.43580155000000004,2.1.0,1,1,70,69,141
08bc696f-9b92-4d7d-845e-b5bae67dc606,django__django-15127,Submitted,1,34,0.21603314999999998,2.1.0,1,1,34,33,69
09b5e7ab-4338-444c-a4f5-37a2cd1096bc,sympy__sympy-21930,Submitted,0,85,0.56566125,2.1.0,1,1,85,84,171
09f0e1a3-4d01-4d3b-8c7d-cb1e63468308,django__django-11206,Submitted,1,32,0.26926265,2.1.0,1,1,32,31,65
0bb49382-aaf4-492e-a06e-14ca1820b7cb,django__django-14053,Submitted,1,52,0.3087730999999999,2.1.0,1,1,52,51,105
0bc21173-d0a1-4b56-aa28-fff9095e1291,sympy__sympy-20154,Submitted,1,37,0.20828344999999998,2.1.0,1,1,37,36,75
0c426f20-1424-4833-bad4-3d9394ea863a,sphinx-doc__sphinx-9367,Submitted,1,38,0.22724190000000008,2.1.0,1,1,38,37,77
0c958ba5-f9dc-4777-a081-de9f7d05173b,django__django-15503,Submitted,1,48,0.320276,2.1.0,1,1,48,47,97
0cb0cde5-a816-434a-b7e6-b25a766306cc,sympy__sympy-22456,Submitted,1,118,0.9618326999999998,2.1.0,1,1,118,117,237
0d1ce92f-1ee2-4e8b-88d6-745818e5983a,django__django-14559,Submitted,1,52,0.2814224499999999,2.1.0,1,1,52,51,105
0d7f4e10-9c8e-43bc-b159-8dea836af231,django__django-11734,Submitted,0,65,0.43368924999999997,2.1.0,1,1,65,64,131
0dd241db-fa05-49d1-b258-acab76fda43d,django__django-13512,Submitted,1,52,0.33635345000000005,2.1.0,1,1,52,51,105
0e0148ad-cfbb-496d-968e-665ba252c9e6,django__django-13343,Submitted,1,37,0.19663390000000006,2.1.0,1,1,37,36,75
0e1289a7-32b2-4ffc-b546-73d29f2b5349,django__django-11299,Submitted,1,45,0.2807304499999999,2.1.0,1,1,45,44,91
0e2130c9-7c14-4117-9726-67f78b81c29e,pylint-dev__pylint-6528,Submitted,0,93,0.5691955499999999,2.1.0,1,1,93,92,187
0e7d03d5-a383-4e91-952d-e28b15fdc9cb,pydata__xarray-3151,Submitted,1,35,0.2079853,2.1.0,1,1,35,34,71
0f4d574f-009b-4048-b223-e05aea1d626b,astropy__astropy-13236,Submitted,0,97,0.6264919499999999,2.1.0,1,1,97,96,195
0f5d8985-4208-4885-b002-047b78c724e3,django__django-12419,Submitted,1,84,0.4953166500000001,2.1.0,1,1,84,83,169
0f8dd414-d9a1-433a-b01f-21d4fd131f92,django__django-13089,Submitted,1,35,0.23474,2.1.0,1,1,35,34,71
0fd532af-5c9f-4982-9ab7-b9c7ecffe9b3,sphinx-doc__sphinx-7889,Submitted,1,18,0.09244754999999999,2.1.0,1,1,18,17,37
0ff93dbe-7ef4-4b84-be83-0db3f32a1c48,pylint-dev__pylint-4661,Submitted,0,36,0.30747825,2.1.0,1,1,36,35,73
117ae39f-2370-4514-afa2-04d4c21f15d6,django__django-11820,Submitted,0,25,0.15731494999999998,2.1.0,1,1,25,24,51
11b9dd1f-17b7-48a0-abae-b49690166130,django__django-15957,Submitted,0,73,0.47599905000000003,2.1.0,1,1,73,72,147
11ce9fe2-57dc-4f82-a5fe-70cc8bc6e280,django__django-13212,Submitted,0,52,0.3187635999999999,2.1.0,1,2,51,50,104
133f248e-e886-4b29-8cc4-8ad4b30b1d80,scikit-learn__scikit-learn-14141,Submitted,1,51,0.3052748000000001,2.1.0,1,1,51,50,103
13c2390c-637a-4c1f-a8f2-3eb46702b505,matplotlib__matplotlib-25332,Submitted,1,64,0.39233984999999993,2.1.0,1,1,64,63,129
142629a8-11f1-4d89-86ba-a705dc0f9698,django__django-16819,Submitted,1,73,0.5304172500000001,2.1.0,1,1,73,72,147
143e5bbe-6882-4747-a0ff-796b2d235ab7,sphinx-doc__sphinx-7440,Submitted,1,53,0.28457414999999997,2.1.0,1,1,53,52,107
146b3c30-e09f-4139-a65c-7c3ea4ec8f90,scikit-learn__scikit-learn-12585,Submitted,1,38,0.22648885000000002,2.1.0,1,1,38,37,77
14dc75f9-af1d-4bb7-826a-66002a1c52be,pytest-dev__pytest-6197,Submitted,1,77,0.5245362999999998,2.1.0,1,1,77,76,155
161e1545-8243-4d31-b1df-4b397d34eeb2,django__django-14534,Submitted,0,44,0.2681351500000001,2.1.0,1,1,44,43,89
163190a8-32bd-4949-9332-957a707ac425,django__django-11333,Submitted,1,50,0.27993865000000007,2.1.0,1,1,50,49,101
1634f644-8cfc-4644-b4a8-c430224fe86d,django__django-14011,Submitted,0,46,0.32833264999999995,2.1.0,1,1,46,45,93
18ccb796-702f-48c7-ba6e-fe1022971c1b,django__django-15098,Submitted,0,91,0.7037020500000001,2.1.0,1,1,91,90,183
18cfd3fa-8226-483d-8a32-99902442ad0d,sympy__sympy-12489,Submitted,1,88,0.62619715,2.1.0,1,1,88,87,177
19286a79-3f23-43ac-bec7-140c0403aff2,sphinx-doc__sphinx-8035,Submitted,1,77,0.45230240000000005,2.1.0,1,1,77,76,155
194a884c-4be5-493a-a9f2-d162ccda494d,sphinx-doc__sphinx-8265,Submitted,1,78,0.5107749499999998,2.1.0,1,1,78,77,157
1ae64a9d-5784-4159-882e-869cf274c209,matplotlib__matplotlib-24177,Submitted,1,89,0.6781614499999997,2.1.0,1,1,89,88,179
1b21e55d-3452-4a46-9cb7-b0c73a9e2988,matplotlib__matplotlib-23299,Submitted,0,90,0.677579,2.1.0,1,1,90,89,181
1b267cba-97c8-4141-99f7-97d86c832986,sympy__sympy-18189,Submitted,1,47,0.3233650999999999,2.1.0,1,1,47,46,95
1b330385-f81d-4081-bb47-d55db89b06a5,sympy__sympy-20428,Submitted,0,80,0.5283147,2.1.0,1,1,80,79,161
1b620f49-d09c-43c3-8ddf-77968230cc17,sympy__sympy-12096,Submitted,1,86,0.5443497000000002,2.1.0,1,1,86,85,173
1ca908c7-4ea2-47c0-b276-7f6d8fe14446,sympy__sympy-24066,Submitted,1,37,0.2426091,2.1.0,1,1,37,36,75
1cfabae9-4170-4627-832d-dff78500ffde,sympy__sympy-22914,Submitted,1,61,0.36677355,2.1.0,1,1,61,60,123
1e3b5e3e-da8c-435c-8a52-752037a77a74,django__django-13741,Submitted,1,43,0.25104560000000004,2.1.0,1,1,43,42,87
1ec5b72c-f194-468b-a4e2-b0d3051eb9a9,django__django-15741,Submitted,1,56,0.3355444499999999,2.1.0,1,1,56,55,113
1efa324e-e642-4d78-a3fe-470c67c02b4c,django__django-11276,Submitted,1,96,0.52335845,2.1.0,1,1,96,95,193
1f3a5e97-9c81-492b-affa-fa1b209a046e,django__django-11848,Submitted,1,28,0.21160339999999997,2.1.0,1,1,28,27,57
1f87a2dd-2c97-4662-925d-d42b5a46bf3a,scikit-learn__scikit-learn-12682,Submitted,1,51,0.3571271499999998,2.1.0,1,1,51,50,103
1f8a015a-0a5a-4f85-9c55-eac75633bc61,pydata__xarray-3993,Submitted,0,42,0.21764405000000003,2.1.0,1,1,42,41,85
21ec3079-30ec-484d-8bc6-b0963bee3332,django__django-11749,Submitted,1,35,0.2079682,2.1.0,1,1,35,34,71
